"Date" "Value"
"2008-08-08" 2.2
"2008-08-09" 21
"2008-08-10" 59.2
"2008-08-11" 137.8
"2008-08-12" 40.6
"2008-08-13" 17.4
"2008-08-14" 4.6
"2008-08-15" 39.6
"2008-08-16" 37.6
"2008-08-17" 36.2
"2008-08-18" 0.8
"2008-08-19" 8
"2008-08-20" 116.2
"2008-08-21" 169.4
"2008-08-22" 30
"2008-08-23" 26.4
"2008-08-24" 19
"2008-08-25" 2.2
"2008-08-26" 48.8
"2008-08-27" 56.2
"2008-08-28" 0
"2008-08-29" 59.4
"2008-08-30" 32.8
"2008-08-31" 73.8
"2008-09-01" 70.2
"2008-09-02" 42.8
"2008-09-03" 8.4
"2008-09-04" 94.2
"2008-09-05" 11.2
"2008-09-06" 106
"2008-09-07" 0
"2008-09-08" 0
"2008-09-09" 6.2
"2008-09-10" 2.4
"2008-09-11" 29
"2008-09-12" 7.8
"2008-09-13" 28.2
"2008-09-14" 6.4
"2008-09-15" 0.8
"2008-09-16" 69.4
"2008-09-17" 1.4
"2008-09-18" 0
"2008-09-19" 11.4
"2008-09-20" 2.6
"2008-09-21" 8
"2008-09-22" 144.4
"2008-09-23" 36.2
"2008-09-24" 26.4
"2008-09-25" 0
"2008-09-26" 52
"2008-09-27" 0
"2008-09-28" 0
"2008-09-29" 21.2
"2008-09-30" 51.4
"2008-10-01" 1
"2008-10-02" 4.4
"2008-10-03" 17.4
"2008-10-04" 1.6
"2008-10-05" 11.8
"2008-10-06" 5.4
"2008-10-07" 2.8
"2008-10-08" 15.8
"2008-10-09" 2.4
"2008-10-10" 0.8
"2008-10-11" 2.6
"2008-10-12" 10
"2008-10-13" 3.8
"2008-10-14" 103.6
"2008-10-15" 81.8
"2008-10-16" 2.6
"2008-10-17" 103.6
"2008-10-18" 30.4
"2008-10-19" 27
"2008-10-20" 26.8
"2008-10-21" 2
"2008-10-22" 54.2
"2008-10-23" 0.6
"2008-10-24" 43.4
"2008-10-25" 13.6
"2008-10-26" 0
"2008-10-27" 0
"2008-10-28" 0
"2008-10-29" 0
"2008-10-30" 0
"2008-10-31" 0
"2008-11-01" 0
"2008-11-02" 8.2
"2008-11-03" 0.2
"2008-11-04" 0
"2008-11-05" 0
"2008-11-06" 0
"2008-11-07" 0
"2008-11-08" 0
"2008-11-09" 0
"2008-11-10" 0
"2008-11-11" 0
"2008-11-12" 0
"2008-11-13" 0
"2008-11-14" 0
"2008-11-15" 0
"2008-11-16" 0
"2008-11-17" 0
"2008-11-18" 1.4
"2008-11-19" 0
"2008-11-20" 0
"2008-11-21" 0
"2008-11-22" 0
"2008-11-23" 0
"2008-11-24" 0
"2008-11-25" 0
"2008-11-26" 0
"2008-11-27" 0
"2008-11-28" 3.4
"2008-11-29" 0
"2008-11-30" 0
"2008-12-01" 0
"2008-12-02" 14.4
"2008-12-03" 0.2
"2008-12-04" 0
"2008-12-05" 0
"2008-12-06" 0
"2008-12-07" 6.6
"2008-12-08" 0
"2008-12-09" 0
"2008-12-10" 0
"2008-12-11" 0
"2008-12-12" 2.2
"2008-12-13" 0.2
